#;Name;Sun;Moon;UltraSun;UltraMoon;LetsGoPikachu;LetsGoEevee;Sword;Shield;LegendsArceus;Scarlet;Violet
754;Lurantis;E;E;E;E;—;—;CD;CD;—;C;C
755;Morelull;C;C;C;C;—;—;C;C;—;—;—
756;Shiinotic;E;E;C;C;—;—;C;C;—;—;—
757;Salandit;C;C;C;C;—;—;C;C;—;C;C
758;Salazzle;E;E;C;C;—;—;D;D;—;C;C
759;Stufful;C;C;C;C;—;—;C;C;—;—;—
760;Bewear;C;C;C;C;—;—;C;C;—;—;—
761;Bounsweet;C;C;B;B;—;—;C;C;—;C;C
762;Steenee;R;R;C;C;—;—;C;C;—;C;C
763;Tsareena;E;E;E;E;—;—;C;C;—;C;C
764;Comfey;C;C;C;C;—;—;CD;CD;—;CD;CD
765;Oranguru;Ev;C;T;C;—;—;DA;C;—;C;CC
766;Passimian;C;Ev;C;T;—;—;C;DA;—;CC;C
767;Wimpod;C;C;C;C;—;—;C;C;—;—;—
768;Golisopod;E;E;E;E;—;—;C;C;—;—;—
769;Sandygast;C;C;C;C;—;—;CD;CD;—;C;C
770;Palossand;E;E;E;E;—;—;CD;CD;—;C;C
771;Pyukumuku;C;C;C;C;—;—;C;C;—;—;—
772;Type: Null;R;R;R;R;—;—;R;R;—;—;—
773;Silvally;E;E;E;E;—;—;E;E;—;—;—
774;Minior;C;C;C;C;—;—;—;—;—;CD;CD
775;Komala;C;C;C;C;—;—;—;—;—;C;C
776;Turtonator;C;Ev;C;T;—;—;C;T;—;—;—
777;Togedemaru;C;C;C;C;—;—;C;C;—;—;—
778;Mimikyu;C;C;C;C;—;—;C;C;—;C;C
779;Bruxish;C;C;C;C;—;—;—;—;—;C;C
780;Drampa;Ev;C;T;C;—;—;T;C;—;—;—
781;Dhelmise;C;C;C;C;—;—;C;C;—;—;—
782;Jangmo-o;C;C;C;C;—;—;C;EV;—;CD;CD
783;Hakamo-o;C;C;C;C;—;—;C;EVE;—;CD;CD
784;Kommo-o;C;C;C;C;—;—;C;EVE;—;CD;CD
785;Tapu Koko;C;C;C;C;—;—;DA;DA;—;—;—
786;Tapu Lele;C;C;C;C;—;—;DA;DA;—;—;—
787;Tapu Bulu;C;C;C;C;—;—;DA;DA;—;—;—
788;Tapu Fini;C;C;C;C;—;—;DA;DA;—;—;—
789;Cosmog;R;R;R;R;—;—;RD;RD;—;T;T
790;Cosmoem;E;E;E;E;—;—;ED;ED;—;T;T
791;Solgaleo;C;T;C;T;—;—;DA;CCDA;—;CD;CCD
792;Lunala;T;C;T;C;—;—;CCDA;DA;—;CCD;CD
793;Nihilego;C;C;C;C;—;—;DA;DA;—;—;—
794;Buzzwole;C;T;C;T;—;—;DA;DA;—;—;—
795;Pheromosa;T;C;T;C;—;—;DA;DA;—;—;—
796;Xurkitree;C;C;C;C;—;—;DA;DA;—;—;—
797;Celesteela;T;C;T;C;—;—;DA;DA;—;—;—
798;Kartana;C;T;C;T;—;—;DA;DA;—;—;—
799;Guzzlord;C;C;C;C;—;—;DA;DA;—;—;—
800;Necrozma;C;C;C;C;—;—;DA;DA;—;CCD;CCD
801;Magearna;EV;EV;EV;EV;—;—;T;T;—;T;T
802;Marshadow;Ev;Ev;Ev;Ev;—;—;Ev;Ev;—;—;—
803;Poipole;—;—;R;R;—;—;RD;RD;—;—;—
804;Naganadel;—;—;E;E;—;—;ED;ED;—;—;—
805;Stakataka;—;—;T;C;—;—;DA;DA;—;—;—
806;Blacephalon;—;—;C;T;—;—;DA;DA;—;—;—
807;Zeraora;—;—;Ev;Ev;—;—;Ev;Ev;—;—;—
808;Meltan;—;—;—;—;Ev;Ev;T;T;—;—;—
809;Melmetal;—;—;—;—;Ev;Ev;Ev;Ev;—;—;—
