#;Name;Diamond;Pearl;Platinum;HeartGold;SoulSilver;Ranger;Ranch;BattleRev;Black;White;Black2;White2;X;Y;OmegaRuby;AlphaSapphire;Sun;Moon;UltraSun;UltraMoon;Sword;Shield;BrilliantDiamond;ShiningPearl;LegendsArceus;Scarlet;Violet
438;Bonsly;S;C;S;B;B;—;—;—;DWB;DWB;B;DWB;B;B;T;T;C;C;C;C;C;C;S;C;C;C;C
439;Mime Jr.;C;S;S;B;B;—;—;—;DWB;DWB;DWB;B;C;C;T;T;T;T;C;C;C;C;C;S;C;—;—
440;Happiny;S;S;S;B;B;—;—;—;DWB;C;R;R;FSB;FSB;C;C;C;C;C;C;CD;CD;S;S;C;C;C
441;Chatot;C;C;C;C;C;—;—;—;DW;DW;C;C;C;C;C;C;T;T;T;T;—;—;C;C;C;—;—
442;Spiritomb;CC;CC;CC;PW;PW;—;—;—;DW;DW;R;R;FS;FS;C;C;T;T;T;T;CCD;CCD;C;C;C;C;C
443;Gible;C;C;C;C;C;—;—;—;DW;DW;R;DW;C;C;C;C;B;B;B;B;T;CD;C;C;C;C;C
444;Gabite;E;E;C;E;E;—;—;—;DWE;DWE;E;DWE;E;E;E;E;C;C;C;C;T;DD;C;C;C;C;C
445;Garchomp;E;E;E;E;E;—;—;—;DWE;DWE;E;DWE;E;E;E;E;E;E;E;E;T;CD;E;E;C;C;C
446;Munchlax;C;C;C;B;B;—;—;—;R;R;B;B;B;B;T;T;C;C;C;C;C;C;C;C;C;CD;CD
447;Riolu;R;R;R;C;C;—;—;—;C;C;C;C;C;C;T;T;C;C;C;C;C;C;R;R;C;C;C
448;Lucario;E;E;E;E;E;—;—;—;E;E;E;E;R;R;Ev;Ev;C;C;C;C;C;C;E;E;C;C;C
449;Hippopotas;C;C;C;C;C;—;—;—;S;S;B;B;C;C;T;T;T;T;B;B;C;C;C;C;C;C;C
450;Hippowdon;C;C;C;E;E;—;—;—;E;E;S;S;E;E;T;T;T;T;C;C;C;C;C;C;C;C;C
451;Skorupi;S;S;S;C;C;—;—;—;DW;DW;C;C;C;C;C;C;T;T;B;B;C;C;C;C;C;—;—
452;Drapion;S;S;S;E;E;—;—;—;DWE;DWE;E;E;C;C;E;E;T;T;C;C;C;C;S;S;C;—;—
453;Croagunk;S;S;C;C;C;—;C;—;S;S;C;C;C;C;T;T;T;T;T;T;T;C;C;C;C;C;C
454;Toxicroak;S;S;S;E;E;—;—;—;E;E;C;C;E;E;T;T;T;T;T;T;T;C;S;S;C;C;C
455;Carnivine;S;S;S;C;C;—;—;—;DW;DW;C;C;C;C;T;T;T;T;T;T;—;—;S;S;C;—;—
456;Finneon;C;C;C;PW;PW;—;C;—;C;C;C;C;T;T;C;C;C;C;C;C;—;—;C;C;C;C;C
457;Lumineon;C;C;C;PWE;PWE;—;—;—;C;C;C;C;T;T;E;E;C;C;C;C;—;—;C;C;C;C;C
458;Mantyke;C;C;C;B;T;—;—;—;C;C;C;C;C;C;C;C;T;T;C;C;C;C;C;C;C;—;—
459;Snover;C;C;C;PW;PW;—;C;—;DW;DW;DW;DW;C;C;T;T;T;T;B;B;C;C;C;C;C;C;C
460;Abomasnow;C;C;C;PWE;PWE;—;—;—;DWE;DWE;DWE;DWE;C;C;T;T;T;T;C;C;C;C;C;C;C;C;C
461;Weavile;E;E;E;E;E;—;—;—;E;E;E;E;E;E;T;T;E;E;E;E;C;C;E;E;C;C;C
462;Magnezone;E;E;E;T;T;—;—;—;DWE;E;C;C;E;E;E;E;E;E;E;E;CD;CD;E;E;C;C;C
463;Lickilicky;E;E;E;E;E;—;—;—;E;E;C;C;E;E;T;T;T;T;E;E;CD;CD;E;E;C;—;—
464;Rhyperior;ET;ET;ET;ET;ET;—;—;—;DWET;ET;ET;ET;ET;ET;ET;ET;ET;ET;ET;ET;D;D;ET;ET;C;CD;CD
465;Tangrowth;Ev;Ev;E;E;E;—;—;—;C;C;C;C;FSE;FSE;E;E;T;T;T;T;CD;CD;C;C;C;—;—
466;Electivire;DET;DET;ET;ET;ET;—;—;C;DWET;ET;DWET;ET;FSET;FSET;ET;ET;ET;ET;ET;ET;CD;CD;ET;T;C;CD;CD
467;Magmortar;DET;DET;ET;ET;ET;—;—;C;DWET;ET;ET;DWET;FSET;FSET;ET;ET;ET;ET;ET;ET;CD;CD;T;ET;C;CD;CD
468;Togekiss;E;E;E;E;E;—;—;—;DWE;E;E;E;FSE;FSE;E;E;S;S;T;T;C;C;E;E;C;—;—
469;Yanmega;E;E;E;E;E;—;—;—;E;E;C;C;E;E;T;T;T;T;C;C;—;—;E;E;C;CD;CD
470;Leafeon;E;E;E;T;T;—;—;—;DWE;DWE;E;E;E;E;E;E;E;E;E;E;C;C;E;E;C;C;C
471;Glaceon;E;E;E;T;T;—;—;—;DWE;DWE;E;E;E;E;E;E;E;E;E;E;C;C;E;E;C;C;C
472;Gliscor;DE;DE;E;E;T;—;—;—;C;C;C;C;E;E;T;T;T;T;T;T;—;—;E;T;C;CD;CCD
473;Mamoswine;E;E;E;E;E;—;—;—;C;C;C;C;E;E;T;T;E;E;E;E;D;D;E;E;C;CD;CD
474;Porygon-Z;ET;ET;ET;ET;ET;—;—;—;EvE;ET;DRET;DRET;T;T;ET;ET;ET;ET;ET;ET;ETD;ETD;ET;ET;C;CD;CD
475;Gallade;E;E;E;E;E;—;—;—;DWE;E;E;E;E;E;E;E;T;T;E;E;C;C;E;E;C;C;C
476;Probopass;E;E;E;T;T;—;—;—;DWE;DWE;E;E;E;E;E;E;E;E;E;E;—;—;E;E;C;CD;CD
477;Dusknoir;ET;ET;ET;ET;ET;—;—;—;DWET;DWET;DWET;DWET;FSET;FSET;ET;ET;T;T;T;T;C;C;ET;ET;C;CD;CD
478;Froslass;E;E;E;PWE;PWE;—;—;—;DWE;DWE;DWE;DWE;FSE;FSE;E;E;E;E;E;E;D;D;E;E;C;C;C
479;Rotom;C;C;C;T;T;—;—;—;R;R;R;R;C;C;T;T;T;T;S;S;C;C;C;C;C;C;C
480;Uxie;C;C;C;T;T;—;—;—;T;T;C;C;T;T;C;C;T;T;C;C;DA;DA;C;C;C;T;T
481;Mesprit;C;C;C;T;T;—;—;—;T;T;C;C;T;T;C;C;T;T;C;C;DA;DA;C;C;C;T;T
482;Azelf;C;C;C;T;T;—;—;—;T;T;C;C;T;T;C;C;T;T;C;C;DA;DA;C;C;C;T;T
483;Dialga;C;T;C;EV;EV;—;—;—;Ev;Ev;DR;DR;Ev;Ev;Ev;C;T;Ev;C;Ev;DA;CCDA;C;T;C;Ev;Ev
484;Palkia;T;C;C;EV;EV;—;—;—;Ev;Ev;DR;DR;Ev;Ev;C;Ev;Ev;T;Ev;C;CCDA;DA;T;C;C;Ev;Ev
485;Heatran;C;C;C;Ev;Ev;—;—;—;T;T;C;C;T;T;C;C;T;Ev;C;Ev;DA;DA;C;C;C;T;T
486;Regigigas;CC;CC;CC;T;T;—;—;—;T;T;CC;CC;T;T;C;C;Ev;T;Ev;C;CCDD;CCDD;C;C;C;T;T
487;Giratina;C;C;C;EV;EV;—;—;—;Ev;Ev;DR;DR;Ev;Ev;CC;CC;T;T;CC;CC;DA;DA;C;C;C;T;T
488;Cresselia;C;C;C;T;T;—;—;—;Ev;Ev;C;C;T;T;C;C;T;T;C;C;DA;DA;C;C;C;T;T
489;Phione;Ev;Ev;Ev;EvB;EvB;B;C;—;T;T;T;T;EvB;EvB;EvB;EvB;EvB;EvB;EvB;EvB;—;—;EvB;EvB;C;T;T
490;Manaphy;Ev;Ev;Ev;Ev;Ev;C;—;—;T;T;T;T;Ev;Ev;Ev;Ev;Ev;Ev;Ev;Ev;—;—;Ev;Ev;C;T;T
491;Darkrai;Ev;Ev;EV;Ev;Ev;—;—;—;Ev;Ev;T;T;Ev;Ev;Ev;Ev;Ev;Ev;Ev;Ev;—;—;EV;EV;CC;Ev;Ev
492;Shaymin;Ev;Ev;EV;Ev;Ev;—;—;—;Ev;Ev;T;T;Ev;Ev;Ev;Ev;Ev;Ev;Ev;Ev;—;—;EV;EV;CC;T;T
493;Arceus;Ev;Ev;Ev;T;T;—;—;—;Ev;Ev;T;T;Ev;Ev;Ev;Ev;T;T;Ev;Ev;—;—;CC;CC;C;T;T
