#;Name;Gold;Silver;Crystal;Ruby;Sapphire;FireRed;LeafGreen;Emerald;Colosseum;JapBonusDisc;XD;Diamond;Pearl;Platinum;HeartGold;SoulSilver;Ranch;Black;White;Black2;White2;X;Y;OmegaRuby;AlphaSapphire;Sun;Moon;UltraSun;UltraMoon;Sword;Shield;BrilliantDiamond;ShiningPearl;LegendsArceus;Scarlet;Violet
161;Sentret;C;C;C;T;T;C;C;T;T;—;T;C;C;C;C;C;—;S;S;B;B;C;C;T;T;T;T;T;T;—;—;C;C;—;CD;CD
162;Furret;C;C;C;T;T;E;E;T;S;—;T;E;E;E;C;C;—;E;E;S;S;E;E;T;T;T;T;T;T;—;—;C;C;—;CD;CD
163;Hoothoot;C;C;C;Ev;Ev;Ev;Ev;C;T;—;T;C;C;C;C;C;—;B;B;CCB;CCB;B;B;T;T;T;T;C;C;C;C;C;C;—;CD;CD
164;Noctowl;C;C;C;EvE;EvE;EvE;EvE;E;S;—;T;C;C;C;C;C;—;C;C;CC;CC;C;C;T;T;T;T;C;C;C;C;C;C;—;CD;CD
165;Ledyba;Ev;C;C;T;T;C;C;C;T;—;S;B;B;B;T;C;—;B;B;DW;B;C;C;T;T;C;C;C;C;—;—;B;B;—;—;—
166;Ledian;EvE;C;C;T;T;E;E;E;S;—;E;C;C;C;T;C;—;C;C;DWE;S;E;E;T;T;C;C;C;C;—;—;C;C;—;—;—
167;Spinarak;C;Ev;C;T;T;C;C;C;T;—;S;B;B;B;C;T;—;B;B;B;DW;B;B;B;B;C;C;C;C;—;—;B;B;—;CD;CD
168;Ariados;C;EvE;C;T;T;E;E;E;S;—;E;C;C;C;C;T;—;C;C;S;DWE;C;C;C;C;C;C;C;C;—;—;C;C;—;CD;CD
169;Crobat;E;E;E;E;E;E;E;E;T;—;E;E;E;E;E;E;—;C;C;C;C;E;E;E;E;C;C;C;C;DD;DD;E;E;C;—;—
170;Chinchou;C;C;C;C;C;T;T;C;T;—;T;C;C;C;C;C;—;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;—;CD;CD
171;Lanturn;C;C;C;E;E;T;T;E;T;—;T;C;C;E;C;C;—;C;C;C;C;C;C;C;C;E;E;C;C;C;C;C;C;—;CD;CD
172;Pichu;B;B;R;B;B;B;B;B;T;—;T;C;C;C;B;B;—;EvB;EvB;EvB;EvB;B;B;B;B;C;C;C;C;D;D;C;C;C;C;C
173;Cleffa;B;B;R;T;T;B;B;T;T;—;T;C;C;C;B;B;—;B;B;B;B;FSB;FSB;B;B;C;C;C;C;D;D;C;C;C;CD;CD
174;Igglybuff;B;B;R;B;B;B;B;B;T;—;T;S;S;S;B;B;—;B;B;B;B;B;B;B;B;C;C;C;C;DD;DD;S;S;—;C;C
175;Togepi;R;R;R;T;T;R;R;T;T;—;R;C;C;C;R;R;—;DW;C;R;R;FS;FS;R;R;B;B;T;T;C;C;C;C;C;—;—
176;Togetic;E;E;E;T;T;E;E;T;S;—;E;E;E;E;E;E;—;DWE;E;E;E;FSE;FSE;E;E;B;B;T;T;C;C;E;E;C;—;—
177;Natu;C;C;C;C;C;C;C;C;T;—;S;S;S;S;C;C;—;DW;DW;S;S;FSB;FSB;B;B;T;T;C;C;C;C;C;C;—;—;—
178;Xatu;E;E;R;C;C;E;E;C;T;—;E;E;E;E;R;R;—;DWE;DWE;E;E;FS;FS;C;C;T;T;C;C;C;C;E;E;—;—;—
179;Mareep;C;C;T;Ev;Ev;Ev;Ev;C;T;—;S;C;C;C;C;C;—;DW;C;C;C;C;C;Ev;Ev;T;T;C;C;—;—;C;C;—;C;C
180;Flaaffy;C;C;T;EvE;EvE;EvE;EvE;E;S;—;E;C;C;C;C;C;—;DWE;E;E;E;E;E;EvE;EvE;T;T;C;C;—;—;C;C;—;C;C
181;Ampharos;E;E;T;EvE;EvE;EvE;EvE;E;E;—;E;E;E;E;E;E;—;DWE;E;E;E;E;E;EvE;EvE;T;T;E;E;—;—;E;E;—;C;C
182;Bellossom;E;E;E;E;E;E;EvE;E;T;—;T;E;E;E;E;E;—;DWE;E;DWE;DWE;E;E;E;E;T;T;T;T;C;C;E;E;—;CD;CD
183;Marill;C;C;C;C;C;T;C;C;T;—;T;C;C;C;C;C;—;DW;E;C;C;C;C;C;C;S;S;T;T;CD;CD;C;C;—;C;C
184;Azumarill;E;E;E;E;E;T;E;E;T;—;T;E;E;C;E;E;—;DWE;E;C;C;C;C;C;C;E;E;T;T;CD;CD;E;E;—;C;C
185;Sudowoodo;C;C;C;T;T;T;T;C;S;—;T;E;C;C;C;C;—;DW;DW;S;DW;C;C;T;T;C;C;C;C;C;C;E;C;C;C;C
186;Politoed;ET;ET;ET;T;T;ET;ET;T;T;—;T;ET;ET;ET;ET;ET;—;C;C;C;C;C;C;T;T;C;C;C;C;CD;CD;ET;ET;—;CD;CD
187;Hoppip;C;C;C;T;T;C;C;T;T;—;C;C;C;C;C;C;—;DW;C;S;S;C;C;T;T;T;T;T;T;—;—;C;C;—;C;C
188;Skiploom;C;C;C;T;T;E;E;T;S;—;E;C;C;E;C;C;—;DWE;E;E;E;E;E;T;T;T;T;T;T;—;—;C;C;—;C;C
189;Jumpluff;E;E;E;T;T;E;E;T;E;—;E;E;E;E;C;C;—;DWE;E;E;E;E;E;T;T;T;T;T;T;—;—;E;E;—;C;C
190;Aipom;C;C;C;Ev;Ev;Ev;Ev;C;S;—;T;C;C;C;C;C;—;DW;DW;B;B;FS;FS;C;C;T;T;C;C;—;—;C;C;C;CCD;CD
191;Sunkern;C;C;C;Ev;Ev;Ev;Ev;C;T;—;T;C;C;C;C;C;—;C;C;C;C;FS;FS;C;C;T;T;T;T;—;—;C;C;—;C;C
192;Sunflora;E;E;E;EvE;EvE;EvE;EvE;E;S;—;T;E;E;E;E;E;—;C;C;E;E;FSE;FSE;E;E;T;T;T;T;—;—;E;E;—;C;C
193;Yanma;C;C;C;T;T;C;C;T;S;—;T;S;S;C;C;C;C;S;S;C;C;C;C;T;T;T;T;B;B;—;—;S;S;C;CD;CD
194;Wooper;C;C;C;T;T;C;T;C;T;—;C;C;C;C;C;C;—;DW;C;B;B;B;B;T;T;T;T;B;B;C;C;C;C;—;CD;CD
194;"Wooper
(Paldean Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;C;C
195;Quagsire;C;C;C;T;T;E;T;C;S;—;E;C;C;C;C;C;—;DWE;E;S;S;C;C;T;T;T;T;C;C;C;C;C;C;—;CD;CD
196;Espeon;E;E;E;Ev;Ev;Ev;Ev;Ev;R;—;E;E;E;E;E;E;—;DWE;DWE;E;E;E;E;E;E;C;C;C;C;C;C;E;E;C;C;C
197;Umbreon;E;E;E;Ev;Ev;Ev;Ev;Ev;R;—;E;E;E;E;E;E;—;DWE;DWE;E;E;E;E;E;E;C;C;C;C;C;C;E;E;C;C;C
198;Murkrow;C;C;C;Ev;Ev;C;Ev;Ev;S;—;T;C;T;T;C;C;—;C;DW;C;C;C;C;C;C;C;C;C;C;—;—;C;T;C;C;C
199;Slowking;ET;ET;ET;EvE;EvE;EvE;ET;EvE;T;—;T;T;ET;ET;ET;ET;—;C;C;ET;ET;ET;ET;ET;ET;ET;ET;C;C;DA;DA;T;ET;—;C;C
199;"Slowking
(Galarian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;ED;ED;—;—;—;CD;CD
200;Misdreavus;C;C;C;Ev;Ev;Ev;C;Ev;S;—;T;T;C;T;C;C;—;DW;C;DW;DW;T;T;C;C;C;C;C;C;—;—;T;C;C;CC;C
201;Unown;C;C;C;T;T;C;C;T;T;—;T;C;C;C;C;C;—;T;T;T;T;T;T;C;C;T;T;T;T;—;—;C;C;C;—;—
202;Wobbuffet;C;C;C;C;C;C;C;C;T;—;T;C;C;C;C;C;—;E;E;R;R;C;C;C;C;T;T;T;T;C;C;C;C;—;—;—
203;Girafarig;C;C;T;C;C;T;T;C;T;—;T;C;C;C;C;C;—;DW;DW;CC;CC;FS;FS;C;C;T;T;T;T;—;—;C;C;—;C;C
204;Pineco;C;C;C;Ev;Ev;Ev;Ev;C;T;—;S;D;D;D;C;C;—;S;S;S;S;FSB;FSB;B;B;T;T;C;C;—;—;C;C;—;C;C
205;Forretress;E;E;E;EvE;EvE;EvE;EvE;E;S;—;E;DE;DE;DE;E;E;—;E;E;E;E;FS;FS;C;C;T;T;E;E;—;—;E;E;—;C;C
206;Dunsparce;C;C;C;T;T;C;C;T;S;—;T;S;S;S;C;C;—;C;C;C;C;C;C;T;T;T;T;C;C;CD;CD;S;S;—;C;C
207;Gligar;C;Ev;C;Ev;Ev;Ev;Ev;C;S;—;C;D;D;C;C;T;—;C;C;C;C;C;C;T;T;T;T;T;T;—;—;C;T;C;CD;CCD
208;Steelix;ET;ET;ET;T;T;ET;ET;T;T;—;T;C;C;C;C;C;—;ET;ET;C;C;R;R;ET;ET;T;T;ET;ET;C;C;C;C;C;—;—
209;Snubbull;C;C;C;Ev;Ev;Ev;Ev;C;T;—;T;S;S;S;C;C;—;DW;DW;B;B;C;C;T;T;B;B;C;C;—;—;C;C;—;CD;CD
210;Granbull;E;E;C;EvE;EvE;EvE;EvE;E;S;—;T;E;E;E;E;E;—;DWE;DWE;C;C;E;E;T;T;C;C;C;C;—;—;E;E;—;CD;CD
211;Qwilfish;C;C;C;Ev;Ev;C;Ev;Ev;S;—;T;C;C;C;C;C;—;C;C;C;C;C;C;T;T;T;T;T;T;C;C;C;C;—;C;C
211;"Qwilfish
(Hisuian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;C;CD;CD
212;Scizor;ET;ET;ET;EvE;EvE;ET;EvE;EvE;T;—;ET;ET;Ev;ET;ET;ET;—;DWET;DWET;DWET;DWET;ET;ET;T;T;ET;ET;ET;ET;CD;CD;ET;T;C;C;C
213;Shuckle;C;C;C;Ev;Ev;Ev;Ev;C;S;—;R;D;D;D;C;C;—;C;C;C;C;C;C;T;T;T;T;T;T;C;C;C;C;—;—;—
214;Heracross;C;C;C;C;C;C;C;C;S;—;T;C;C;C;C;C;—;C;C;C;C;FS;C;C;C;T;T;C;C;T;CD;C;C;C;C;C
215;Sneasel;C;C;C;Ev;Ev;Ev;C;Ev;S;—;T;C;C;C;C;C;—;C;C;C;C;C;C;T;T;C;C;C;C;C;C;C;C;C;C;C
215;"Sneasel
(Hisuian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;C;T;T
216;Teddiursa;C;Ev;C;Ev;Ev;Ev;Ev;C;T;—;S;D;D;D;T;C;—;DW;DW;R;R;B;B;T;T;T;T;T;T;—;—;T;C;C;C;C
217;Ursaring;C;EvE;C;EvE;EvE;EvE;EvE;E;S;—;E;D;D;D;T;C;—;DWE;DWE;E;E;C;C;T;T;T;T;T;T;—;—;T;E;C;C;C
218;Slugma;C;C;C;C;C;C;C;C;S;—;T;C;C;C;C;C;—;DW;DW;DW;DW;C;C;C;C;T;T;B;B;—;—;C;C;—;CD;CD
219;Magcargo;E;E;E;E;E;C;C;E;E;—;S;C;C;C;E;E;—;DWE;DWE;DWE;DWE;E;E;E;E;T;T;C;C;—;—;C;C;—;CD;CD
220;Swinub;C;C;C;T;T;C;C;T;T;—;S;S;S;C;C;C;—;B;B;B;B;B;B;T;T;S;S;S;S;C;C;C;C;C;CD;CD
221;Piloswine;E;E;E;T;T;E;E;T;S;—;E;E;E;C;E;E;—;C;C;C;C;C;C;T;T;E;E;E;E;C;C;E;E;C;CD;CD
222;Corsola;C;C;C;C;C;Ev;Ev;C;T;—;T;S;S;S;C;C;—;C;C;C;C;C;C;C;C;C;C;C;C;T;RD;C;C;—;—;—
222;"Corsola
(Galarian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;T;C;—;—;—;—;—
223;Remoraid;C;C;Ev;T;T;T;C;C;S;—;T;C;C;C;C;C;—;C;C;C;C;C;C;C;C;T;T;C;C;C;C;C;C;C;—;—
224;Octillery;E;E;EvE;T;T;T;E;E;E;—;T;C;C;C;E;E;—;C;C;C;C;C;C;C;C;T;T;C;C;C;C;C;C;C;—;—
225;Delibird;Ev;C;C;Ev;Ev;C;Ev;Ev;S;—;T;S;S;S;T;C;—;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;—;C;C
226;Mantine;C;Ev;C;Ev;Ev;Ev;C;Ev;S;—;T;E;E;E;C;T;—;C;C;C;C;E;E;C;C;T;T;E;E;C;C;E;E;C;—;—
227;Skarmory;Ev;C;C;C;C;C;T;C;S;—;T;C;C;C;T;C;—;DW;DW;C;C;C;C;C;C;C;C;C;C;CD;CD;C;C;—;CD;CD
228;Houndour;C;C;C;Ev;Ev;Ev;Ev;C;T;—;S;T;B;C;C;C;—;S;DW;DW;DW;C;EvB;T;T;T;T;C;T;—;—;B;B;—;C;C
229;Houndoom;E;E;E;EvE;EvE;EvE;EvE;E;S;—;E;T;C;E;C;C;—;E;DWE;DWE;DWE;E;Ev;T;T;T;T;C;T;—;—;C;C;—;C;C
230;Kingdra;ET;ET;ET;ET;ET;ET;ET;ET;T;—;T;ET;ET;ET;ET;ET;—;C;C;C;C;ET;ET;ET;ET;ET;ET;ET;ET;CD;CD;ET;ET;—;CD;CD
231;Phanpy;Ev;C;C;C;C;C;C;C;T;—;C;S;S;S;C;T;—;DW;DW;R;R;FS;FS;B;B;T;T;T;T;—;—;C;C;—;C;C
232;Donphan;EvE;C;C;E;E;E;E;E;T;—;E;E;E;E;C;T;—;DWE;DWE;E;E;FSE;FSE;C;C;T;T;T;T;—;—;E;E;—;C;C
233;Porygon2;ET;ET;ET;T;T;ET;ET;T;T;—;T;ET;ET;ET;ET;ET;—;EvE;ET;DRET;DRET;T;T;ET;ET;ET;ET;ET;ET;ETD;ETD;ET;ET;C;CD;CD
234;Stantler;C;C;C;Ev;Ev;Ev;Ev;C;S;—;T;T;C;C;C;C;—;C;C;DW;DW;T;T;C;C;T;T;T;T;—;—;T;C;C;C;C
235;Smeargle;C;C;C;Ev;Ev;Ev;Ev;C;S;—;T;C;C;C;C;C;—;S;S;DW;DW;C;C;Ev;Ev;C;C;C;C;—;—;C;C;—;CD;CD
236;Tyrogue;R;R;R;T;T;B;B;T;T;—;T;C;C;C;R;R;—;S;S;DW;DW;FS;FS;C;C;T;T;T;T;C;C;C;C;—;CD;CD
237;Hitmontop;E;E;E;T;T;E;E;T;S;—;T;E;E;E;E;E;—;E;E;DWE;DWE;FSE;FSE;E;E;T;T;T;T;C;C;E;E;—;CD;CD
238;Smoochum;B;B;R;T;T;B;B;T;T;—;T;S;S;C;B;B;—;B;B;DR;DR;C;C;T;T;T;T;C;C;CD;CD;C;C;—;—;—
239;Elekid;B;B;R;EvB;EvB;B;EvB;EvB;T;—;R;D;D;B;B;B;—;DW;C;DW;C;FSB;FSB;C;C;C;C;C;C;CD;CD;C;T;C;CD;CD
240;Magby;B;B;R;EvB;EvB;EvB;B;EvB;T;—;T;D;D;B;B;B;—;DW;C;C;DW;FSB;FSB;C;C;C;C;C;C;CD;CD;T;C;C;CD;CD
241;Miltank;C;C;C;T;T;T;T;C;S;—;T;C;C;C;C;C;C;DW;DW;DW;DW;C;C;Ev;Ev;C;C;C;C;CD;CD;C;C;—;—;—
242;Blissey;E;E;E;EvE;EvE;E;E;EvE;T;—;E;E;E;E;E;E;—;DWE;E;E;E;FSE;FSE;E;E;E;E;C;C;CD;CD;E;E;C;C;C
243;Raikou;C;C;C;Ev;Ev;C;C;Ev;S;—;T;Ev;Ev;Ev;C;C;—;T;T;T;T;T;T;C;C;T;Ev;C;Ev;DA;DA;C;T;—;CD;CCD
244;Entei;C;C;C;Ev;Ev;C;C;Ev;S;—;T;Ev;Ev;Ev;C;C;—;T;T;T;T;T;T;C;C;Ev;T;Ev;C;DA;DA;C;T;—;CD;CCD
245;Suicune;C;C;C;Ev;Ev;C;C;Ev;S;—;T;Ev;Ev;Ev;C;C;—;T;T;T;T;T;T;C;C;T;T;CC;CC;DA;DA;C;T;—;CD;CCD
246;Larvitar;C;C;C;EvB;EvB;C;C;EvB;T;—;R;C;T;S;C;C;—;B;B;B;B;FSB;C;EvB;EvB;T;T;C;C;EV;C;C;T;—;C;CC
247;Pupitar;E;E;C;EvB;EvB;E;E;EvB;T;—;E;E;T;E;C;C;—;C;C;C;C;FS;C;EvB;EvB;T;T;E;E;EVE;C;C;T;—;C;CC
248;Tyranitar;E;E;E;Ev;Ev;E;E;Ev;S;—;E;E;T;E;E;E;—;C;C;C;C;FSE;E;Ev;Ev;T;T;E;E;EVE;C;E;T;—;C;CC
249;Lugia;C;C;C;Ev;Ev;EV;EV;EV;T;—;S;T;T;T;C;C;—;T;T;DR;DR;Ev;Ev;Ev;C;Ev;Ev;Ev;C;CCDA;DA;T;C;—;CCD;CD
250;Ho-Oh;C;C;C;Ev;Ev;EV;EV;EV;R;—;T;T;T;T;C;C;—;T;T;DR;DR;T;T;C;Ev;Ev;Ev;C;T;DA;CCDA;C;T;—;CD;CCD
251;Celebi;Ev;Ev;C*;Ev;Ev;Ev;Ev;Ev;T;C;T;Ev;Ev;Ev;Ev;Ev;—;T;T;T;T;Ev;Ev;Ev;Ev;Ev;Ev;Ev;Ev;Ev;Ev;T;T;—;—;—
